document_id,pdf_filename,page_url,pdf_origin,pdf_count_on_page,current_published_at,proposed_published_at,date_type,confidence,publication_statement,evidence_location,date_grounded,statement_grounded,file_created,pdf_creation_date,filename,anchor_text,edition_label,decision,reason
https://internal.imd.gov.in/press_release/20250331_pr_3851.pdf,20250331_pr_3851.pdf,,inbody,6,2025-05-30,2025-03-31,publication,0.9,"New Delhi, 31 March 2025",page 1-2 text (statement verbatim),true,true,,2025-03-31,20250331_pr_3851.pdf,April to June in 2025,,override,"The document's own text carries the phrase ""New Delhi, 31 March 2025"", which the document states its own publication or issue date. The phrase was found verbatim in the PDF, so it was not inferred from the filename, the link text, the URL or file metadata."
inbody:99b851aad2885433b8a6a1e094a0550fd11a81d9,Post_2015_bulletin%20and_TEDDY_launch.pdf,https://teriin.org/sustainable-development-goals,inbody,12,2018-03-10,2014-07-09,publication,0.9,"New Delhi, July 9, 2014: The bulletin on the post-2015 Development Agenda was presented at The Energy and Resources Institute (TERI).",page 1-2 text (statement verbatim),true,true,,2014-07-09,Post_2015_bulletin%20and_TEDDY_launch.pdf,Viewpoints on the Post-2015 Development Agenda,,override,"The document's own text carries the phrase ""New Delhi, July 9, 2014: The bulletin on the post-2015 Development Agenda was presented at The Energy and Resources Institute (TERI)."", which the document states its own publication or issue date. The phrase was found verbatim in the PDF, so it was not inferred from the filename, the link text, the URL or file metadata."
inbody:8a67cfc5dc651be5a672ecab74c91918e9dfdc03,Tender_No_22 _Project_TERI_2024_December_Tender_Renewables_V4.pdf,https://teriin.org/announcements,inbody,70,2018-04-11,2024-12-11,publication,0.9,ISSUE NO. 22 DATED 11-12-2024,page 1-2 text (statement verbatim),true,true,,2024-12-11,Tender_No_22 _Project_TERI_2024_December_Tender_Renewables_V4.pdf,Downloaded,2024-2025,override,"The document's own text carries the phrase ""ISSUE NO. 22 DATED 11-12-2024"", which the document states its own publication or issue date. The phrase was found verbatim in the PDF, so it was not inferred from the filename, the link text, the URL or file metadata."
inbody:b3b4af7bfbf9baea33bf1499d8edb4da5f43a269,Tender_NAM_Project_TERI_2023_August_Tender_no_013_new.pdf,https://teriin.org/announcements,inbody,70,2018-04-11,2023-08-10,publication,0.9,ISSUE NO. 01 DATED 10-08-2023,page 1-2 text (statement verbatim),true,true,,2023-08-23,Tender_NAM_Project_TERI_2023_August_Tender_no_013_new.pdf,Download,,override,"The document's own text carries the phrase ""ISSUE NO. 01 DATED 10-08-2023"", which the document states its own publication or issue date. The phrase was found verbatim in the PDF, so it was not inferred from the filename, the link text, the URL or file metadata."
https://www.ccai.co.in/wp-content/uploads/2022/05/1.-MoR-circular-date-15.03.2022.pdf,1.-MoR-circular-date-15.03.2022.pdf,,inbody,2,2022-10-18,2022-03-15,publication,0.9,dt.15.03.2022,page 1-2 text (statement verbatim),true,true,,2022-03-15,1.-MoR-circular-date-15.03.2022.pdf,Rail Green Points,,override,"The document's own text carries the phrase ""dt.15.03.2022"", which the document states its own publication or issue date. The phrase was found verbatim in the PDF, so it was not inferred from the filename, the link text, the URL or file metadata."
inbody:6d6e770219a275767bb1f0e264f6c84a1c9642e3,India-News-Calling-Chandigarh-Monday-December-23-2013.pdf,https://teriin.org/event/conference-promoting-rooftop-solar-photovoltaic-systems-india,inbody,11,2018-01-09,2013-12-23,publication,0.9,"Chandigarh,23.12.13:",page 1-2 text (statement verbatim),true,true,,,India-News-Calling-Chandigarh-Monday-December-23-2013.pdf,"India News Calling, Chandigarh, Monday, December 23, 2013",,override,"The document's own text carries the phrase ""Chandigarh,23.12.13:"", which the document states its own publication or issue date. The phrase was found verbatim in the PDF, so it was not inferred from the filename, the link text, the URL or file metadata."
